Raw file	m/z	Peaks / Da	Single peaks / Da	Isotope patterns / Da	Single isotope patterns / Da	SILAC pairs / Da	Identified SILAC pairs / Da	SILAC identification rate [%]	MS/MS / Da	Identified MS/MS / Da	Identification rate [%]
XLpeplib_Beveridge_QEx-HFX_DSS_R3	100	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	101	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	102	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	103	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	104	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	105	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	106	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	107	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	108	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	109	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	110	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	111	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	112	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	113	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	114	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	115	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	116	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	117	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	118	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	119	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	120	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	121	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	122	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	123	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	124	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	125	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	126	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	127	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	128	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	129	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	130	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	131	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	132	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	133	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	134	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	135	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	136	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	137	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	138	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	139	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	140	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	141	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	142	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	143	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	144	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	145	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	146	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	147	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	148	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	149	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	150	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	151	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	152	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	153	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	154	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	155	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	156	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	157	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	158	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	159	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	160	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	161	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	162	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	163	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	164	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	165	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	166	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	167	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	168	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	169	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	170	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	171	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	172	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	173	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	174	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	175	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	176	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	177	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	178	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	179	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	180	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	181	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	182	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	183	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	184	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	185	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	186	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	187	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	188	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	189	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	190	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	191	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	192	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	193	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	194	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	195	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	196	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	197	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	198	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	199	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	200	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	201	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	202	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	203	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	204	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	205	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	206	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	207	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	208	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	209	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	210	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	211	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	212	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	213	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	214	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	215	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	216	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	217	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	218	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	219	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	220	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	221	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	222	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	223	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	224	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	225	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	226	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	227	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	228	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	229	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	230	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	231	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	232	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	233	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	234	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	235	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	236	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	237	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	238	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	239	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	240	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	241	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	242	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	243	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	244	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	245	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	246	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	247	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	248	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	249	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	250	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	251	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	252	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	253	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	254	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	255	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	256	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	257	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	258	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	259	0	0	0	0	0	0	NaN	0	0	
XLpeplib_Beveridge_QEx-HFX_DSS_R3	260	0	0	0	0	0	0	NaN	0	0	
