Raw file	m/z	Peaks / Da	Single peaks / Da	Isotope patterns / Da	Single isotope patterns / Da	SILAC pairs / Da	Identified SILAC pairs / Da	SILAC identification rate [%]	MS/MS / Da	Identified MS/MS / Da	Identification rate [%]
20210521_QExHFX2_RSLC3_ADH_acidic-lib_sep_rep1	72.66666412353516	0	0	0	0	0	0	NaN	0	0	
20210521_QExHFX2_RSLC3_ADH_acidic-lib_sep_rep1	73.66666412353516	0	0	0	0	0	0	NaN	0	0	
20210521_QExHFX2_RSLC3_ADH_acidic-lib_sep_rep1	74.66666412353516	0	0	0	0	0	0	NaN	0	0	
20210521_QExHFX2_RSLC3_ADH_acidic-lib_sep_rep1	75.66666412353516	0	0	0	0	0	0	NaN	0	0	
20210521_QExHFX2_RSLC3_ADH_acidic-lib_sep_rep1	76.66666412353516	0	0	0	0	0	0	NaN	0	0	
20210521_QExHFX2_RSLC3_ADH_acidic-lib_sep_rep1	77.66666412353516	0	0	0	0	0	0	NaN	0	0	
20210521_QExHFX2_RSLC3_ADH_acidic-lib_sep_rep1	78.66666412353516	0	0	0	0	0	0	NaN	0	0	
20210521_QExHFX2_RSLC3_ADH_acidic-lib_sep_rep1	79.66666412353516	0	0	0	0	0	0	NaN	0	0	
20210521_QExHFX2_RSLC3_ADH_acidic-lib_sep_rep1	80.66666412353516	0	0	0	0	0	0	NaN	0	0	
20210521_QExHFX2_RSLC3_ADH_acidic-lib_sep_rep1	81.66666412353516	0	0	0	0	0	0	NaN	0	0	
20210521_QExHFX2_RSLC3_ADH_acidic-lib_sep_rep1	82.66666412353516	0	0	0	0	0	0	NaN	0	0	
20210521_QExHFX2_RSLC3_ADH_acidic-lib_sep_rep1	83.66666412353516	0	0	0	0	0	0	NaN	0	0	
20210521_QExHFX2_RSLC3_ADH_acidic-lib_sep_rep1	84.66666412353516	0	0	0	0	0	0	NaN	0	0	
20210521_QExHFX2_RSLC3_ADH_acidic-lib_sep_rep1	85.66666412353516	0	0	0	0	0	0	NaN	0	0	
20210521_QExHFX2_RSLC3_ADH_acidic-lib_sep_rep1	86.66666412353516	0	0	0	0	0	0	NaN	0	0	
20210521_QExHFX2_RSLC3_ADH_acidic-lib_sep_rep1	87.66666412353516	0	0	0	0	0	0	NaN	0	0	
20210521_QExHFX2_RSLC3_ADH_acidic-lib_sep_rep1	88.66666412353516	0	0	0	0	0	0	NaN	0	0	
20210521_QExHFX2_RSLC3_ADH_acidic-lib_sep_rep1	89.66666412353516	0	0	0	0	0	0	NaN	0	0	
20210521_QExHFX2_RSLC3_ADH_acidic-lib_sep_rep1	90.66666412353516	0	0	0	0	0	0	NaN	0	0	
20210521_QExHFX2_RSLC3_ADH_acidic-lib_sep_rep1	91.66666412353516	0	0	0	0	0	0	NaN	0	0	
20210521_QExHFX2_RSLC3_ADH_acidic-lib_sep_rep1	92.66666412353516	0	0	0	0	0	0	NaN	0	0	
20210521_QExHFX2_RSLC3_ADH_acidic-lib_sep_rep1	93.66666412353516	0	0	0	0	0	0	NaN	0	0	
